pool,model_reaction_id,reaction_uid,fallback_reason,orfs,model_equation
reference_only,r_1964,MODEL_RXN:0001387,fallback_equation,,s_1212 <=> s_1213
reference_only,r_1965,MODEL_RXN:0001388,fallback_equation,,s_0419 <=> s_0421
reference_only,r_1966,MODEL_RXN:0001389,fallback_equation,,s_1216 <=> s_1217
reference_only,r_1967,MODEL_RXN:0001390,fallback_equation,,s_1220 --> 
reference_only,r_1968,MODEL_RXN:0001391,fallback_equation,,s_1225 --> 
reference_only,r_1970,MODEL_RXN:0001392,fallback_equation,,s_1224 <=> s_1227
reference_only,r_1971,MODEL_RXN:0001393,fallback_equation,,s_1224 <=> s_1228
reference_only,r_1972,MODEL_RXN:0001394,fallback_equation,,s_1225 --> s_1224
reference_only,r_1974,MODEL_RXN:0001395,fallback_equation,,s_0613 + s_0803 --> s_0615 + s_0794 + s_1322
reference_only,r_1975,MODEL_RXN:0001396,fallback_equation,,s_0617 + s_0803 --> s_0613 + s_0794 + s_1322
reference_only,r_1977,MODEL_RXN:0001398,fallback_equation,,s_1275 <=> s_1276
reference_only,r_1978,MODEL_RXN:0001399,fallback_equation,,s_1275 <=> s_1278
reference_only,r_1979,MODEL_RXN:0001400,fallback_equation,,s_1277 <=> s_1275
reference_only,r_1980,MODEL_RXN:0001401,fallback_equation,,s_1275 <=> s_1279
reference_only,r_1984,MODEL_RXN:0001403,fallback_equation,,s_1250 --> 
reference_only,r_1987,MODEL_RXN:0001404,fallback_equation,,s_1267 --> 
reference_only,r_1988,MODEL_RXN:0001405,fallback_equation,,s_1271 <=> s_1272
reference_only,r_1989,MODEL_RXN:0001406,fallback_equation,,s_1272 --> 
reference_only,r_1991,MODEL_RXN:0001408,fallback_equation,,s_1620 <=> s_1623
reference_only,r_1992,MODEL_RXN:0001409,fallback_equation,,s_1277 <=> 
reference_only,r_1993,MODEL_RXN:0001410,fallback_equation,,s_1288 --> 
