model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn2667,rxn2667,s_0717 + 2 s_0794 + s_1399 --> s_0025 + s_0714,rxn2667,2.1.1.155;2.1.1.231,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980079682528796
rxn479,rxn479,s_0794 + s_1212 + s_1439 + sn_111 --> s_0803 + s_1181 + s_1207,rxn479,2.4.1.-,1.5.1.10|1.5.1.15|1.5.1.2|1.5.1.20|1.5.1.3|1.5.1.39|1.5.1.53|1.5.1.7,0.9980065717550213
rxn6,rxn6,s_0794 + s_1212 + sn_37 --> s_0666 + s_1207,rxn6,1.14.13.-;1.14.15.-;1.14.15.3,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9980053202624657
rxn157,rxn157,s_0030 + s_0714 --> s_0149 + s_0717 + 3 s_0794,rxn157,4.1.1.25;4.1.1.28,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980014518520572
rxn311,rxn311,s_0794 + s_1212 + s_1275 + s_4232 --> s_0062 + s_0803 + s_1207,rxn311,,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9980007457012945
rxn2130,rxn2130,s_0180 + 2 s_0434 + s_0981 + s_1003 --> 2 s_0394 + 2 s_0794 + 2 s_1322 + s_3923,rxn2130,3.1.3.63,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.997999651080887
rxn795,rxn795,s_3948 --> 2 s_0794 + sn_6,rxn795,2.4.1,5.4.2.11|5.4.2.2|5.4.2.3|5.4.2.8,0.9979982144123531
rxn524,rxn524,s_0721 + s_3852 --> s_0551 + s_0775,rxn524,2.1.1.6;2.1.1.68,2.2.1.1|2.2.1.2|2.2.1.6,0.9979981882602194
rxn945,rxn945,s_0176 + s_0794 + s_0969 + s_1203 --> s_0953 + s_0973 + s_1198,rxn945,3.1.1.23,1.4.1.4,0.9979975871088862
rxn1658,rxn1658,s_0689 + s_1275 + sn_151 --> s_0687 + s_0794 + s_0803 + sn_358,rxn1658,1.1.1,1.14.14.154|1.14.14.17,0.9979951817816426
rxn3220,rxn3220,s_0794 + s_1212 + sn_64 --> s_1065 + s_1207,rxn3220,1.10.3.1;1.14.18.1,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9979919992546228
rxn549,rxn549,s_0138 + s_0282 + s_1275 --> s_0066 + s_0456 + s_1556,rxn549,1.1.1.21,1.14.11.-|1.14.11.27,0.9979904186895544
rxn481,rxn481,s_0794 + s_1212 + s_1526 + s_3973 --> s_0803 + s_1207 + sn_65,rxn481,2.7.1.121,1.5.1.10|1.5.1.15|1.5.1.2|1.5.1.20|1.5.1.3|1.5.1.39|1.5.1.53|1.5.1.7,0.9979871888075909
rxn2530,rxn2530,s_0434 + s_0441 + s_1006 --> s_0423 + s_0633 + s_0794 + s_3991,rxn2530,,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9979864850465348
rxn3221,rxn3221,s_0794 + s_1212 + sn_51 --> s_0595 + s_1207,rxn3221,1.10.3.1;1.14.18.1,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.997981317650695
rxn1320,rxn1320,s_0721 + s_0794 + sn_245 --> s_0456 + sn_198,rxn1320,3.2.1.51,2.2.1.1|2.2.1.2|2.2.1.6,0.9979795586019512
rxn1779,rxn1779,s_0282 + s_1014 + s_1275 --> s_0066 + s_0285 + s_0456,rxn1779,5.2.1.M1,1.14.11.-|1.14.11.27,0.997975098477379
rxn612,rxn612,s_1275 + sn_20 --> s_0232 + s_0794 + s_0837,rxn612,,1.1.3.37,0.9979724332076582
rxn2411,rxn2411,s_0764 + s_1427 --> s_0577 + s_3852,rxn2411,2.1.1.8,2.2.1.1|2.2.1.2|2.2.1.6,0.9979718968546538
rxn2413,rxn2413,s_0555 + s_3852 --> s_0551 + s_1426,rxn2413,2.1.1.8,2.2.1.1|2.2.1.2|2.2.1.6,0.9979665668808048
rxn111,rxn111,s_0260 + s_0548 --> s_0568 + s_3997,rxn111,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9979622292340261
