model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_0812,heme o,C49H56FeN4O5,-2,C=CC1=C(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C(O)CCC=C(C)CCC=C(C)CCC=C(C)C.[Fe+2],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0813,henicosaprenyl diphosphate,C105H169O7P2,-3,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0814,heptadecaprenyl diphosphate,C85H137O7P2,-3,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0815,heptaprenyl diphosphate,C35H57O7P2,-3,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0816,hexacosanoyl-CoA,C47H82N7O17P3S,-4,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0817,hexacosanoyl-CoA,C47H82N7O17P3S,-4,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0819,hexacosanoyl-CoA,C47H82N7O17P3S,-4,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0823,hexadec-2-enoyl-CoA,C37H60N7O17P3S,-4,CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0825,hexadecanal,C16H32O,0,CCCCCCCCCCCCCCCC=O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0826,hexadecanal,C16H32O,0,CCCCCCCCCCCCCCCC=O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0829,hexadecaprenyl diphosphate,C80H129O7P2,-3,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
